family,precision,recall,f1-score,support
andersonviridae,0.5729166666666666,0.3136882129277566,0.4054054054054054,526
polymycoviridae,0.6666666666666666,0.2857142857142857,0.4,7
casidaviridae,0.625,0.2830188679245283,0.3896103896103896,53
tombusviridae,0.625,0.2777777777777778,0.3846153846153846,36
schitoviridae,0.5482456140350878,0.2853881278538813,0.3753753753753753,438
rudiviridae,0.7142857142857143,0.25,0.3703703703703703,20
chuviridae,1.0,0.2222222222222222,0.3636363636363636,9
mesyanzhinovviridae,0.5227272727272727,0.2738095238095238,0.359375,84
orthototiviridae,0.5,0.2727272727272727,0.3529411764705882,11
pseudototiviridae,0.5,0.25,0.3333333333333333,4
mamonoviridae,0.8571428571428571,0.2068965517241379,0.3333333333333333,29
mayoviridae,1.0,0.2,0.3333333333333333,5
stanwilliamsviridae,0.4508670520231214,0.2422360248447205,0.3151515151515151,322
rountreeviridae,0.6521739130434783,0.1973684210526315,0.303030303030303,76
intestiviridae,0.7777777777777778,0.1842105263157894,0.2978723404255319,38
vandenendeviridae,0.4427083333333333,0.2230971128608924,0.2966841186736474,381
endornaviridae,1.0,0.1666666666666666,0.2857142857142857,6
vertoviridae,0.25,0.2,0.2222222222222222,5
lipothrixviridae,0.2727272727272727,0.1875,0.2222222222222222,16
suoliviridae,0.5714285714285714,0.1290322580645161,0.2105263157894736,62
arenbergviridae,0.4137931034482758,0.1318681318681318,0.2,91
malacoherpesviridae,1.0,0.1,0.1818181818181818,10
autosignataviridae,0.7692307692307693,0.0961538461538461,0.1709401709401709,104
chaseviridae,0.6666666666666666,0.0919540229885057,0.1616161616161616,87
mtkvariviridae,0.5294117647058824,0.0818181818181818,0.1417322834645669,110
ascoviridae,0.7142857142857143,0.072463768115942,0.131578947368421,69
guelinviridae,1.0,0.0588235294117647,0.1111111111111111,17
steigviridae,0.5555555555555556,0.0588235294117647,0.1063829787234042,85
duneviridae,0.5,0.0588235294117647,0.1052631578947368,17
berryhillviridae,0.6666666666666666,0.054054054054054,0.1,37
zobellviridae,0.5,0.0476190476190476,0.0869565217391304,126
alloherpesviridae,1.0,0.0454545454545454,0.0869565217391304,22
forsetiviridae,0.3333333333333333,0.0434782608695652,0.0769230769230769,23
autonotataviridae,0.5,0.0392156862745098,0.0727272727272727,102
grimontviridae,1.0,0.0303030303030303,0.0588235294117647,66
nudiviridae,0.5,0.0294117647058823,0.0555555555555555,34
salasmaviridae,1.0,0.0256410256410256,0.05,39
kleczkowskaviridae,0.5,0.0178571428571428,0.0344827586206896,56
ahmunviridae,0.0,0.0,0.0,1
aggregaviridae,0.0,0.0,0.0,2
ahpuchviridae,0.0,0.0,0.0,2
ehrlichviridae,0.0,0.0,0.0,16
bacilladnaviridae,0.0,0.0,0.0,2
atkinsviridae,0.0,0.0,0.0,4
bornaviridae,0.0,0.0,0.0,2
bidnaviridae,0.0,0.0,0.0,1
aspiviridae,0.0,0.0,0.0,2
artoviridae,0.0,0.0,0.0,1
autolykiviridae,0.0,0.0,0.0,2
assiduviridae,0.0,0.0,0.0,7
benyviridae,0.0,0.0,0.0,1
blumeviridae,0.0,0.0,0.0,2
birnaviridae,0.0,0.0,0.0,2
botybirnaviridae,0.0,0.0,0.0,1
allomimiviridae,0.0,0.0,0.0,34
alternaviridae,0.0,0.0,0.0,1
anaerodiviridae,0.0,0.0,0.0,1
aoguangviridae,0.0,0.0,0.0,1
graaviviridae,0.0,0.0,0.0,4
fusariviridae,0.0,0.0,0.0,1
fredfastierviridae,0.0,0.0,0.0,11
fusagraviridae,0.0,0.0,0.0,1
felixviridae,0.0,0.0,0.0,1
endolinaviridae,0.0,0.0,0.0,1
ekchuahviridae,0.0,0.0,0.0,3
fervensviridae,0.0,0.0,0.0,1
corticoviridae,0.0,0.0,0.0,5
colingsworthviridae,0.0,0.0,0.0,11
chrysoviridae,0.0,0.0,0.0,2
crevaviridae,0.0,0.0,0.0,7
dicistroviridae,0.0,0.0,0.0,4
deltaflexiviridae,0.0,0.0,0.0,3
druskaviridae,0.0,0.0,0.0,18
